CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,DATE,DATETIME,HOUR,VALUE,HOUR2D,VALIDATION
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T23:00:00Z,23,1,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,10,2025-08-10,2025-08-10T08:00:00Z,8,1,08,Valid
